fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
37035,212.83,27.1,886.34,FALSE,FALSE,FALSE
37037,448.94,51.86,1039.23,TRUE,FALSE,TRUE
37051,290.27,53.17,832.62,TRUE,FALSE,FALSE
37059,215.98,79.39,799.39,TRUE,TRUE,TRUE
37063,329.85,78.07,1354.69,TRUE,FALSE,TRUE
37065,236.46,55.54,645.22,FALSE,FALSE,FALSE
37067,329.51,37.7,1079.2,TRUE,TRUE,TRUE
37069,137.91,30.8,737.24,FALSE,FALSE,FALSE
37071,350.77,30.01,941.3,FALSE,TRUE,TRUE
37081,309.24,36.76,1243.15,FALSE,TRUE,TRUE
37087,241.05,41.86,964.81,FALSE,FALSE,FALSE
37089,207.15,42.38,810.97,FALSE,FALSE,FALSE
37093,119.56,62.68,501.39,TRUE,FALSE,FALSE
37101,172.84,17.65,791.28,FALSE,FALSE,FALSE
37119,354.05,25.55,1509.02,TRUE,TRUE,TRUE
37127,330.79,41.5,871.51,FALSE,FALSE,FALSE
37129,360.29,60.9,1189.98,TRUE,FALSE,FALSE
37133,224.49,20.88,587.13,FALSE,FALSE,FALSE
37135,263.71,49.07,1683.48,FALSE,FALSE,TRUE
37145,240.03,93.12,889.62,TRUE,FALSE,TRUE
37151,206.52,35.55,712.09,FALSE,TRUE,TRUE
37157,216.38,44.72,801.29,FALSE,TRUE,TRUE
37167,215.06,61.05,710.83,FALSE,TRUE,TRUE
37169,145.62,54.68,662.66,TRUE,TRUE,TRUE
37179,191.71,23.9,1001.17,FALSE,TRUE,TRUE
37183,236.27,9.68,1139.6,FALSE,FALSE,FALSE
37191,192.68,54.11,648.14,TRUE,FALSE,FALSE
37197,178.98,50.24,697.89,TRUE,TRUE,TRUE
38015,218.1,73.71,381.93,TRUE,FALSE,FALSE
38035,203.22,31.39,556.79,FALSE,FALSE,FALSE
38059,205.68,82.68,563.3,TRUE,FALSE,FALSE
39015,205.13,21.36,110.78,FALSE,TRUE,FALSE
39085,314.28,11.32,405.45,FALSE,TRUE,TRUE
39097,180.33,38.47,174.01,TRUE,TRUE,TRUE
40017,136.84,20.47,138.43,FALSE,FALSE,TRUE
40027,164.9,17.66,135.67,FALSE,FALSE,TRUE
40037,152.11,18.94,144.99,FALSE,TRUE,TRUE
40051,130.72,19.15,81.18,FALSE,FALSE,TRUE
